credit,debit,date,l,s,d
76,83,1583-02-21,5,8,11
2,76,1583-03-12,1,1,8
2,76,1583-03-12,3,6,8
76,2,1583-05-10,0,2,0
76,149,1583-06-02,0,10,0
76,170,1583-06-04,0,0,2
76,26,1583-06-04,0,5,0
76,9,1583-06-04,11,11,1
117,76,1583-07-15,2,13,2
60,76,1583-07-30,0,15,0
164,76,1583-07-30,1,0,1
76,60,1583-07-30,1,12,3
103,76,1583-07-30,800,0,0
14,76,1583-08-01,8,6,8
165,76,1583-08-25,18,4,7
29,76,1583-08-25,18,7,8
147,76,1583-08-25,22,13,3.5
50,76,1583-08-25,291,13,4
165,76,1583-08-25,326,2,8
165,76,1583-08-25,36,2,5
165,76,1583-08-25,440,13,1
50,76,1583-08-25,56,5,0
8,76,1583-08-31,62,7,9
76,83,1583-08-31,737,7,7
76,83,1583-08-31,93,0,4
15,76,1583-09-19,0,12,0
139,76,1583-09-19,0,2,0
76,57,1583-09-19,16,18,6
47,76,1583-09-19,2,11,4
52,76,1583-09-19,2,6,8
158,76,1583-09-19,23,8,9
9,76,1583-09-19,25,0,0
163,76,1583-09-19,65,3,1
34,76,1583-09-19,7,3,10
76,153,1583-09-19,8,11,10
2,76,1583-09-27,621,19,4
2,76,1583-10-10,1,6,4
161,76,1583-10-10,41,10,3
135,76,1583-10-14,136,0,0
2,76,1583-10-18,0,6,2
2,76,1583-11-04,0,11,6
2,76,1583-11-04,4,3,4
2,76,1583-11-04,5,12,2
2,76,1583-11-05,0,14,7
2,76,1583-11-05,35,0,0
2,76,1583-11-09,10,1,4
2,76,1583-11-09,4,3,4
2,76,1583-11-09,8,6,8
26,76,1583-11-16,0,0,6
62,76,1583-11-16,0,6,2
76,166,1583-11-16,1,0,0
189,76,1583-11-16,1,10,0
178,76,1583-11-16,10,0,0
183,76,1583-11-16,10,0,0
75,76,1583-11-16,11,16,6
146,76,1583-11-16,12,5,10
102,76,1583-11-16,13,14,10
137,76,1583-11-16,13,3,6
76,9,1583-11-16,13,6,8
42,76,1583-11-16,172,3,10
208,76,1583-11-16,2,0,0
142,76,1583-11-16,2,1,10
76,64,1583-11-16,3,0,4
143,76,1583-11-16,3,10,3
14,76,1583-11-16,3,9,5
57,76,1583-11-16,300,0,0
134,76,1583-11-16,4,9,2.5
130,76,1583-11-16,5,6,6
144,76,1583-11-16,5,9,6
97,76,1583-11-16,6,0,0
131,76,1583-11-16,6,5,0
200,76,1583-11-16,8,6,8
156,76,1583-11-16,8,6,8
151,76,1583-11-16,80,0,0
