credit,debit,date,l,s,d
106,93,1594-12-15,115,10,0
88,93,1594-12-15,50,0,0
88,94,1583-12-26,105,1,7
94,88,1583-12-26,3368,7,2.33333333333333
2,94,1584-01-04,132,11,11
83,94,1585-01-28,830,0,8
84,94,1585-03-15,861,13,4
94,123,1594-09-10,29,13,1
94,123,1594-09-10,85,1,5
2,94,1594-09-13,533,6,8
94,41,1594-09-30,14,18,4
94,187,1594-09-30,2,0,0
94,123,1594-09-30,260,8,11.875
94,28,1594-10-01,128,15,3.5
60,94,1594-10-01,6,6,1
94,88,1594-10-04,41,14,8.5
55,94,1594-10-04,6,8,4
19,94,1594-10-04,6,9,9.75
94,84,1594-10-04,96,2,4
220,94,1594-12-15,107,9,5.5
106,94,1594-12-15,115,10,0
88,94,1594-12-15,50,0,0
88,95,1583-12-26,105,13,11
88,95,1583-12-26,200,0,0
95,88,1583-12-26,5000,0,0
107,95,1583-12-26,542,6,10
83,95,1585-01-28,828,12,4
84,95,1585-03-15,861,13,4
95,41,1594-09-30,14,18,4
95,187,1594-09-30,2,0,0
95,123,1594-09-30,261,6,0.875
95,28,1594-10-01,128,15,3.5
95,28,1594-10-01,139,13,6
19,95,1594-10-04,13,10,8.25
55,95,1594-10-04,13,7,6
95,84,1594-10-04,200,7,4
95,88,1594-10-04,41,14,8.5
83,95,1594-10-04,879,15,8.625
88,95,1594-10-04,89,12,8
220,95,1594-10-15,107,9,5.5
106,95,1594-10-15,115,10,0
88,95,1594-10-15,50,0,0
88,123,1583-12-26,105,0,11
88,123,1583-12-26,1400,0,0
88,123,1583-12-26,400,0,0
123,88,1583-12-26,5000,0,0
2,88,1583-11-05,6,0,2
2,123,1584-03-22,2,0,0
2,123,1584-03-22,2,12,8
83,123,1584-11-28,826,4,4
94,90,1583-01-31,28,7,6
2,94,1584-01-04,28,7,6
94,88,1583-12-26,1631,12,9.66666666666667
106,2,1583-03-12,16,13,4
106,2,1583-03-12,21,13,4
106,2,1584-09-25,20,19,0
106,2,1585-01-02,14,17,10
106,2,1585-01-16,14,0,0
106,2,1585-02-20,4,15,3.5
106,2,1594-09-20,12,13,4
88,106,1594-09-20,67,5,5.5
2,26,1583-04-09,8,5,2
2,26,1583-05-04,19,4,0
2,26,1583-06-11,24,0,0
26,2,1583-06-04,5,0,0
2,26,1583-09-15,31,5,0
58,138,1582-11-08,166,13,4
138,88,1582-11-08,166,13,4
138,88,1582-11-08,25,0,0
138,88,1582-11-08,66,13,4
181,88,1582-11-08,33,6,8
138,88,1582-11-08,300,0,0
88,138,1594-09-20,300,0,0
157,88,1582-11-08,12,0,0
2,157,1583-02-22,12,0,0
182,88,1582-11-08,160,0,0
2,182,1583-10-03,160,0,0
183,88,1582-11-08,160,0,0
2,183,1583-10-03,170,0,0
41,88,1582-11-08,133,6,8
2,41,1583-10-03,14,0,0
50,88,1582-11-08,16,13,4
135,88,1582-11-08,16,13,4
62,88,1582-11-08,4,3,4
184,88,1582-11-08,48,0,0
2,184,1583-09-29,48,0,0
64,88,1582-11-08,48,0,0
2,64,1583-09-19,48,0,0
57,88,1582-11-08,48,0,0
2,57,1583-09-26,48,0,0
185,88,1582-11-08,48,0,0
2,185,1583-10-03,48,0,0
107,88,1582-11-08,64,0,0
2,107,1583-10-03,64,0,0
147,88,1582-11-08,250,0,0
2,147,1583-10-03,250,0,0
141,88,1582-11-08,166,13,4
150,88,1582-11-08,33,6,8
186,88,1582-11-08,8,6,8
2,186,1583-07-27,8,6,8
161,88,1582-11-08,33,6,8
2,161,1583-10-03,33,6,8
134,88,1582-11-08,300,0,0
2,134,1583-10-03,300,0,0
137,88,1582-11-08,64,0,0
2,137,1583-10-03,64,0,0
187,88,1582-11-08,16,0,0
103,88,1582-11-08,66,13,4
188,88,1582-11-08,8,6,8
2,188,1583-06-28,8,6,8
189,88,1582-11-08,24,0,0
2,189,1583-08-12,1,10,0
2,189,1583-10-03,24,0,0
190,88,1582-11-08,200,0,0
2,190,1583-10-03,200,0,0
191,88,1582-11-08,100,0,0
2,191,1583-10-03,100,0,0
176,88,1582-11-08,8,6,8
29,88,1582-11-08,10,0,0
192,88,1582-11-08,4,3,4
2,192,1584-07-09,4,3,4
65,88,1582-11-08,8,6,8
193,88,1582-11-08,4,3,4
70,88,1582-11-08,4,3,4
73,88,1582-11-08,16,13,4
194,88,1582-11-08,4,3,4
38,194,1583-01-17,4,3,4
164,88,1582-11-08,4,3,4
55,88,1582-11-08,4,3,4
117,88,1582-11-08,4,3,4
19,88,1582-11-08,4,3,4
195,88,1582-11-08,4,3,4
2,195,1583-10-28,4,3,4
196,88,1582-11-08,8,6,8
103,196,1594-09-30,8,6,8
51,88,1582-11-08,8,6,8
197,88,1582-11-08,100,0,0
2,197,1583-10-03,100,0,0
198,88,1582-11-08,33,6,8
2,198,1583-02-12,33,6,8
42,88,1582-11-08,172,3,10
42,88,1582-11-08,133,6,8
199,88,1582-11-08,133,6,8
2,199,1583-10-03,133,6,8
200,88,1582-11-08,133,6,8
2,200,1583-10-03,133,6,8
2,200,1584-03-15,8,6,8
156,88,1582-11-08,133,6,8
2,156,1583-10-03,133,6,8
2,156,1584-01-24,8,6,8
201,88,1582-11-08,66,13,4
2,201,1583-10-03,66,13,4
202,88,1582-11-08,66,13,4
2,202,1583-10-03,66,13,4
203,88,1582-11-08,200,0,0
2,203,1583-02-12,33,6,8
2,203,1583-07-17,33,6,8
2,203,1583-09-19,33,6,8
2,203,1583-10-03,100,0,0
204,88,1582-11-08,16,13,4
29,204,1583-08-25,16,13,4
205,88,1582-11-08,66,13,4
2,205,1583-10-03,66,13,4
206,88,1582-11-08,66,13,4
2,206,1583-10-03,66,13,4
207,88,1582-11-08,166,13,4
2,207,1583-10-03,166,13,4
135,88,1582-11-08,400,0,0
50,135,1584-02-22,400,0,0
208,88,1582-11-08,32,0,0
2,208,1583-08-22,2,0,0
2,208,1583-10-03,32,0,0
201,88,1582-11-08,20,0,0
88,201,1583-11-16,20,0,0
209,88,1582-11-08,50,0,0
2,209,1583-10-03,50,0,0
26,2,1584-03-20,157,18,4
26,2,1584-03-15,311,5,0
26,2,1584-04-10,157,10,0
26,2,1584-04-10,167,8,8
26,2,1584-02-04,194,5,5
26,2,1584-05-24,31,0,0
26,2,1585-03-01,32,13,4
26,2,1584-03-30,230,1,10
26,2,1584-03-15,119,7,4
26,2,1584-04-10,157,10,0
26,2,1584-04-28,387,14,11
26,2,1584-02-08,113,18,1
26,2,1584-04-23,270,13,4
26,2,1584-05-07,512,13,9
26,2,1584-04-11,78,15,0
26,2,1584-02-11,159,11,8
26,2,1583-03-15,155,12,6
26,2,1584-04-22,157,5,10
26,2,1584-02-18,155,16,8
26,2,1584-03-15,157,10,0
26,2,1584-03-23,154,3,4
26,2,1584-03-15,155,16,8
26,2,1584-03-15,108,18,9
26,2,1584-02-18,156,5,0
26,2,1584-03-15,233,8,9
2,88,1584-01-16,4,0,0
2,88,1584-01-17,1,2,8
2,88,1584-02-11,9,5,4
2,88,1584-02-20,33,0,0
2,88,1584-03-15,1,3,8
2,88,1584-03-15,1,4,10
88,26,1584-09-13,1,3,3
2,88,1594-12-04,0,6,8
2,88,1594-12-04,0,9,8
2,88,1594-12-04,1,13,2
2,88,1594-12-04,1,2,8
2,88,1594-12-04,11,19,3
2,88,1594-12-04,13,9,6
2,88,1594-12-04,2,12,2
2,88,1594-12-04,37,3,4
2,88,1594-12-04,5,17,6
2,88,1594-12-13,0,12,0
2,88,1594-12-13,0,16,1
2,88,1594-12-13,0,5,0
2,88,1594-12-13,0,8,8
2,88,1594-12-13,1,4,0
2,88,1594-12-13,1,9,4.5
2,88,1594-12-13,14,16,2
2,88,1594-12-13,16,13,4
2,88,1594-12-13,16,13,4
2,88,1594-12-13,16,13,4
2,88,1594-12-13,2,0,0
2,88,1594-12-13,2,10,0
2,88,1594-12-13,20,4,2
2,88,1594-12-13,4,0,0
2,88,1594-12-13,4,5,0
2,88,1594-12-13,5,0,0
2,88,1594-12-13,50,0,0
2,88,1594-12-13,50,0,0
2,88,1594-12-13,74,6,8
2,88,1594-12-13,78,18,10
2,88,1594-12-20,7,6,8
61,28,1584-02-22,169,0,0
30,28,1584-02-22,757,3,5
99,28,1584-02-22,80,0,0
28,26,1584-03-27,0,0,1
28,159,1584-03-27,0,0,10
28,2,1584-03-27,0,1,0
28,70,1584-03-27,0,10,0
28,2,1584-03-27,0,3,0
28,139,1584-03-27,0,4,0
28,61,1584-03-27,10,0,0
28,32,1584-03-27,3,11,11
28,35,1584-03-27,67,8,3
29,28,1584-03-30,0,0,1
29,28,1584-03-30,0,6,0
124,28,1584-03-30,3,6,2
83,28,1584-03-30,9,16,11
2,28,1584-10-17,4,4,6
28,83,1585-01-28,0,0,1
83,28,1585-01-28,1,1,8
83,28,1585-01-28,100,0,0
82,28,1585-01-28,53,4,4
146,28,1585-01-28,7,15,3
83,28,1585-01-28,84,11,4
28,84,1594-09-05,1303,3,3
83,28,1594-09-05,155,8,4
84,28,1594-09-05,235,5,3
28,84,1594-09-05,235,5,3
28,84,1594-09-05,31,0,0
83,28,1594-09-05,690,10,8
28,84,1594-09-07,1221,6,1
2,28,1594-09-14,7,10,10
26,28,1594-09-15,0,0,1
28,26,1594-09-15,0,0,1
50,28,1594-09-15,0,0,10
28,50,1594-09-15,0,0,10
28,26,1594-09-15,0,0,7
28,173,1594-09-15,0,8,4
28,32,1594-09-15,136,10,1
63,28,1594-09-15,14,17,5
56,28,1594-09-15,15,10,0
82,28,1594-09-15,154,10,0
101,28,1594-09-15,179,10,10
17,28,1594-09-15,2,10,4
28,84,1594-09-15,205,5,3
38,28,1594-09-15,21,19,2
30,28,1594-09-15,210,1,1
100,28,1594-09-15,22,0,0
28,30,1594-09-15,222,3,8
84,28,1594-09-15,25,3,3
32,28,1594-09-15,296,4,6
67,28,1594-09-15,31,7,5
28,82,1594-09-15,322,0,7
53,28,1594-09-15,35,1,2
68,28,1594-09-15,39,16,5
28,82,1594-09-15,43,18,5
28,82,1594-09-15,441,9,6.5
28,61,1594-09-15,565,14,9
28,17,1594-09-15,69,7,7
146,28,1594-09-15,77,12,6
17,28,1594-09-15,83,1,10
2,28,1594-09-20,19,2,11
28,165,1594-09-20,33,9,11
26,28,1594-09-30,0,0,2
28,102,1594-09-30,104,10,10
28,84,1594-09-30,229,5,5
28,76,1594-09-30,300,0,0
28,76,1594-09-30,89,3,3
28,84,1594-09-30,99,13,0
26,2,1584-02-06,196,7,1
26,2,1584-09-25,280,14,7
210,26,1584-04-29,159,10,0
210,2,1594-09-15,33,16,10
26,2,1584-06-15,134,2,7
26,2,1584-11-16,159,10,0
26,2,1584-06-23,312,2,3
26,2,1584-06-21,79,8,7
211,17,1584-05-16,204,8,0
2,212,1584-05-23,17,7,10
2,90,1584-07-30,400,0,0
2,90,1584-08-04,136,0,0
2,90,1584-09-20,190,0,0
90,123,1584-11-28,726,0,0
26,2,1584-06-05,129,3,0
26,2,1584-06-17,406,5,0
2,89,1584-08-14,536,0,0
2,89,1584-09-20,190,0,0
89,123,1584-11-28,726,0,0
2,92,1584-06-13,400,0,0
2,92,1584-07-09,100,0,0
2,92,1584-08-14,36,0,0
92,123,1584-11-28,726,0,0
2,92,1584-12-27,190,0,0
2,94,1584-05-14,282,14,3
2,94,1584-10-25,443,5,9
94,123,1584-11-28,726,0,0
2,77,1584-06-13,300,0,0
2,77,1584-07-17,100,0,0
2,77,1584-08-14,136,0,0
2,77,1584-09-20,190,0,0
77,123,1584-11-28,726,0,0
2,91,1584-06-04,400,0,0
2,91,1584-08-14,136,0,0
2,91,1584-09-20,190,0,0
91,123,1584-11-28,726,0,0
2,93,1584-06-14,400,0,0
2,93,1584-08-14,136,0,0
2,93,1584-09-20,190,0,0
93,123,1584-11-28,726,0,0
2,95,1584-06-14,400,0,0
2,95,1584-08-14,136,0,0
2,95,1584-09-20,190,0,0
95,123,1584-11-28,726,0,0
26,2,1584-08-11,170,16,8
26,2,1584-09-07,699,13,4
26,2,1584-11-29,147,18,4
213,2,1584-12-20,88,0,0
213,2,1594-09-13,88,0,0
2,42,1584-07-04,312,10,0
17,90,1584-07-30,8,10,0
90,107,1584-12-21,162,12,10.5
83,90,1584-12-29,161,5,0
26,2,1584-07-22,160,8,4
26,2,1584-09-16,306,18,8
26,2,1584-10-21,395,17,11
102,217,1594-09-05,1123,2,0
2,102,1594-09-13,17,11,0
84,102,1594-09-07,823,9,3
84,57,1594-09-10,880,15,1
84,102,1594-09-28,120,11,1
216,123,1594-09-10,118,12,6
84,216,1594-09-10,2314,1,0
216,123,1594-09-10,340,6,0
84,216,1594-09-10,529,7,7
84,216,1594-09-10,65,4,5
84,216,1594-09-10,7033,6,2
84,216,1594-09-10,73,4,5
84,216,1594-09-10,806,13,3
84,216,1594-09-10,927,19,4
216,89,1594-09-12,11,12,6
216,92,1594-09-12,11,12,6
216,89,1594-09-12,115,2,3
216,92,1594-09-12,115,2,3
216,89,1594-09-12,13,0,5
216,92,1594-09-12,13,0,5
216,77,1594-09-12,16,1,11
216,77,1594-09-12,165,10,0
216,77,1594-09-12,18,4,11
216,95,1594-09-12,237,5,1
216,95,1594-09-12,25,16,8
216,95,1594-09-12,28,18,8
216,89,1594-09-12,330,4,7
216,92,1594-09-12,330,4,7
216,77,1594-09-12,474,15,2
216,95,1594-09-12,680,12,0
216,89,1594-10-01,1731,14,4
216,92,1594-10-01,1731,14,4
216,95,1594-10-01,1731,14,4
216,92,1594-10-04,442,14,2
216,95,1594-10-04,442,14,2
216,91,1594-09-10,16,3,4
216,90,1594-09-10,16,6,1.33333333333333
216,91,1594-09-10,16,6,1.33333333333333
216,93,1594-09-10,16,6,1.33333333333333
216,90,1594-09-10,1620,12,10.3333333333333
216,91,1594-09-10,1620,12,10.3333333333333
216,93,1594-09-10,1620,12,10.3333333333333
84,216,1594-09-10,1735,10,9
216,93,1594-09-10,18,12,0
216,91,1594-09-10,184,19,0
216,90,1594-09-10,20,3,0
216,93,1594-09-10,214,8,0
216,90,1594-09-10,228,12,5
216,123,1594-09-10,255,4,6
84,216,1594-09-10,48,18,4
84,216,1594-09-10,4861,18,8
216,91,1594-09-10,530,12,0
84,216,1594-09-10,54,18,4
84,216,1594-09-10,604,19,11
216,93,1594-09-10,615,0,8
216,90,1594-09-10,655,17,0
216,123,1594-09-10,88,19,5
217,60,1594-09-12,1,1,8
218,2,1594-09-20,131,11,3
2,219,1594-09-15,33,6,8
2,220,1594-09-14,0,10,0
2,220,1594-09-14,0,12,8
2,220,1594-09-14,0,14,7.5
2,220,1594-09-14,0,6,6
2,220,1594-09-14,1,10,0
2,220,1594-09-14,1,9,0
2,220,1594-09-14,110,0,0
2,220,1594-09-14,164,6,5.5
2,220,1594-09-14,2,16,0
2,220,1594-09-14,4,13,0
2,220,1594-09-14,4,3,4
2,220,1594-09-14,52,16,3
220,2,1594-09-14,54,13,4
2,220,1594-09-14,6,11,10
2,220,1594-09-14,62,10,3
2,220,1594-09-14,7,6,0
2,220,1594-09-14,75,0,0
2,220,1594-09-14,9,3,8
2,221,1594-09-14,58,0,0
3,88,1594-09-20,0,0,1
3,88,1594-09-20,0,0,1
3,88,1594-09-20,0,0,1
5,88,1594-09-20,0,15,2
88,112,1594-09-20,0,9,0
88,116,1594-09-20,1,6,0
4,88,1594-09-20,10,4,0
7,88,1594-09-20,11,5,0
88,109,1594-09-20,15,0,0
88,111,1594-09-20,15,19,2
6,88,1594-09-20,16,4,10
3,88,1594-09-20,17,17,6
88,113,1594-09-20,18,13,10
88,110,1594-09-20,18,15,5
88,114,1594-09-20,2,13,3
88,113,1594-09-20,22,7,6
88,140,1594-09-20,4,12,8
88,108,1594-09-20,5,9,4
88,113,1594-09-20,6,17,5
88,118,1594-09-20,67,8,11
88,115,1594-09-20,7,0,0
88,126,1594-09-20,70,2,6
33,106,1594-09-20,140,0,0
104,106,1594-09-20,48,0,0
84,216,1594-09-30,814,15,10
84,216,1594-10-01,1666,13,4
2,88,1594-10-15,8,6,8
83,145,1594-12-16,2137,7,5.25
